indicator_type,value,verdict,firstSeen,lastSeen,timestamp,relatedIncCount,sourceBrands,sourceInstances,expirationStatus,expiration,isUnit42Enriched,Feed Related Indicators,Indicator Identification,STIX Indicator Description,STIX Indicator Name
URL,https://tips.echaunvistazo.com/cz0yODM3Nzg0MSZhPTI1MTMmYz0xMTMwNjAmZT0zNzkwJmw9NjE4MzIwJnQ9YyZscz04MjcxODQmZD0mZW1haWw9YW1aNVowQmphR1YyY205dUxtTnZiUT09JmlkX3NlZ21lbnQ9TUE9PSZkb21haW49WTJobGRuSnZiZz09JmJzX3RyYWNraW5nPU1URXpNRFl3WHpJMU1UTT0maWRfY2FtcGFpZ249TVRFek1EWXcmbWQ1PU0yVXpNalZrWm/1NNE5qUXdZVFk1TURZeE16Z3daRFk1TmpReFpUQTJOMkU9,Malicious,"Thu, 05 Oct 2023 09:26:49 CST","Thu, 05 Oct 2023 09:26:49 CST","Thu, 05 Oct 2023 09:26:49 CST",1,"CofenseIntelligenceV2, CrowdStrike Falcon Intel v2, URLhaus, AutoFocus V2","CofenseIntelligenceV2, CrowdStrike Falcon Intel v2, URLhaus, AutoFocus V2",active,"Sat, 04 Nov 2023 09:26:49 CST",,,,,
URL,https://tips.echaunvistazo.com/cz0yODM3Nzg0MSZhPTI1MTMmYz0xMTMwNjAmZT0zNzkwJmw9NjE4MzMyJnQ9YyZscz04MjcxODQmZD0mZW1haWw9YW1aNVowQmphR1YyY205dUxtTnZiUT09JmlkX3NlZ21lbnQ9TUE9PSZkb21haW49WTJobGRuSnZiZz09JmJzX3RyYWNraW5nPU1URXpNRFl3WHpJMU1UTT0maWRfY2FtcGFpZ249TVRFek1EWXcmbWQ1PU0yVXpNalZrWm/1NNE5qUXdZVFk1TURZeE16Z3daRFk1TmpReFpUQTJOMkU9,Malicious,"Thu, 05 Oct 2023 09:26:49 CST","Thu, 05 Oct 2023 09:26:49 CST","Thu, 05 Oct 2023 09:26:49 CST",1,"AutoFocus V2, CofenseIntelligenceV2, CrowdStrike Falcon Intel v2, URLhaus","AutoFocus V2, CofenseIntelligenceV2, CrowdStrike Falcon Intel v2, URLhaus",active,"Sat, 04 Nov 2023 09:26:49 CST",,,,,
URL,https://tips.echaunvistazo.com/cz0yODM3Nzg0MSZhPTI1MTMmYz0xMTMwNjAmZT0zNzkwJmw9NjE4Mjc1JnQ9YyZscz04MjcxODQmZD0mZW1haWw9YW1aNVowQmphR1YyY205dUxtTnZiUT09JmlkX3NlZ21lbnQ9TUE9PSZkb21haW49WTJobGRuSnZiZz09JmJzX3RyYWNraW5nPU1URXpNRFl3WHpJMU1UTT0maWRfY2FtcGFpZ249TVRFek1EWXcmbWQ1PU0yVXpNalZrWm/1NNE5qUXdZVFk1TURZeE16Z3daRFk1TmpReFpUQTJOMkU9,Malicious,"Thu, 05 Oct 2023 09:26:49 CST","Thu, 05 Oct 2023 09:26:49 CST","Thu, 05 Oct 2023 09:26:49 CST",1,"AutoFocus V2, CofenseIntelligenceV2, CrowdStrike Falcon Intel v2, URLhaus","AutoFocus V2, CofenseIntelligenceV2, CrowdStrike Falcon Intel v2, URLhaus",active,"Sat, 04 Nov 2023 09:26:49 CST",,,,,
Domain,usbank.com,Malicious,"Sun, 13 Aug 2023 13:54:41 CST","Thu, 05 Oct 2023 08:21:21 CST","Sun, 13 Aug 2023 13:54:41 CST",7,"CofenseIntelligenceV2, CrowdStrike Falcon Intel v2, DomainTools Iris, FireEye iSIGHT, URLhaus, AutoFocus V2","CrowdStrike Falcon Intel v2, DomainTools Iris, FireEye iSIGHT, URLhaus, AutoFocus V2, CofenseIntelligenceV2",active,"Thu, 19 Oct 2023 08:21:21 CST",,,,,
Domain,joinushealth.com,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,karabakhtelekom.com,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,investment-unwrap.gl.at.ply.gg,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,joekairbos.com,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,incontroler.com,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,hexgaming.co,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,holaolabien.top,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,howdy.ng,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,hivaom.top,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
Domain,i8.ae,Malicious,,,"Thu, 05 Oct 2023 08:00:09 CST",1,,,active,"Thu, 19 Oct 2023 08:00:09 CST",,,,,
